marque;modèle;date;date_fin;pred;succ;différence;résultat
Apple;iPhone SE 2020;01/04/2020;;iPhone SE;;;
Apple;iPhone 11;01/09/2019;;iPhone Xr;;;
Apple;iPhone 11 Pro;01/09/2019;;iPhone Xs;;;
Apple;iPhone 11 Pro Max;01/09/2019;;iPhone Xs Max;;;
Apple;iPhone Xr;01/09/2018;01/09/2019;iPhone X;iPhone 11;12;
Apple;iPhone Xs;01/09/2018;01/09/2019;iPhone X;iPhone 11 Pro;12;
Apple;iPhone Xs Max;01/09/2018;01/09/2019;iPhone X;iPhone 11 Pro Max;12;
Apple;iPhone X;01/09/2017;01/09/2018;;iPhone Xr;12;
Apple;iPhone 8;01/09/2017;;iPhone 7;;;
Apple;iPhone 8 Plus;01/09/2017;;iPhone 7 Plus;;;
Apple;iPhone 7;01/09/2016;01/09/2017;iPhone 6s;iPhone 8;12;
Apple;iPhone 7 Plus;01/09/2016;01/09/2017;iPhone 6s Plus;iPhone 8 Plus;12;
Apple;iPhone SE;01/03/2016;01/04/2020;;iPhone SE 2020;49;
Apple;iPhone 6s;01/09/2015;01/09/2016;iPhone 6;iPhone 7;12;
Apple;iPhone 6s Plus;01/09/2015;01/09/2016;iPhone 6 Plus;iPhone 7 Plus;12;
Apple;iPhone 6;01/09/2014;01/09/2015;iPhone 5s;iPhone 6s;12;
Apple;iPhone 6 Plus;01/09/2014;01/09/2015;;iPhone 6s Plus;12;
Apple;iPhone 5s;01/09/2013;01/09/2014;iPhone 5;iPhone 6;12;
Apple;iPhone 5c;01/09/2013;;;;;
Apple;iPhone 5;01/09/2012;01/09/2013;iPhone 4s;iPhone 5s;12;
Apple;iPhone 4s;01/10/2011;01/09/2012;iPhone 4;iPhone 5;11;
Apple;iPhone 4;01/06/2010;01/10/2011;;iPhone 4s;16;
Samsung;Galaxy M01;01/06/2020;;;;;
Samsung;Galaxy A21s;01/05/2020;;Galaxy A20s;;;
Samsung;Galaxy A51 5G;Pré-vente;;;;;
Samsung;Galaxy A21;01/04/2020;;Galaxy A20;;;
Samsung;Galaxy A71 5G;01/04/2020;;Galaxy A71;;;
Samsung;Galaxy A11;Pré-vente;;;;;
Samsung;Galaxy M11;01/03/2020;;Galaxy M10;;;
Samsung;Galaxy A31;01/03/2020;;Galaxy A30;;;
Samsung;Galaxy A41;01/03/2020;;;;;
Samsung;Galaxy M21;01/03/2020;;Galaxy M20;;;
Samsung;Galaxy M31;01/02/2020;;Galaxy M30;;;
Samsung;Galaxy S20;01/02/2020;;Galaxy S10;;;
Samsung;Galaxy S20 Plus;01/02/2020;;Galaxy S10 Plus;;;
Samsung;Galaxy S20 Ultra;01/02/2020;;Galaxy S10 Plus;;;
Samsung;Galaxy Z Flip;01/02/2020;;;;;
Samsung;Galaxy XCover Pro;01/01/2020;;Galaxy Xcover 4s;;;
