Modèle;date début;date fin
iPhone_2G;30/06/2007;30/06/2008
iPhone_3G;30/06/2008;31/05/2010
iPhone_3GS;30/06/2009;30/09/2012
iPhone_4;30/06/2010;30/09/2013
iPhone_4S;31/10/2011;30/09/2014
iPhone_5;30/09/2012;30/09/2013
iPhone_5S;30/09/2013;31/03/2016
iPhone_5C;30/09/2013;30/09/2015
iPhone_6;30/09/2014;30/09/2016
iPhone_6S;30/09/2015;30/09/2018
iPhone_SE_1er;31/03/2016;30/09/2018
iPhone_7;30/09/2016;30/09/2019
iPhone_8;30/09/2017;31/03/2020
iPhone_X;31/10/2017;30/09/2018
iPhone_XS;30/09/2018;30/09/2019
iPhone_XR;31/10/2018;03/06/2020
iPhone_11;30/09/2013;03/06/2020
iPhone_11_Pro;30/09/2013;03/06/2020
iPhone_SE_2nd;30/09/2013;03/06/2020
