Mois,Apple iPhone 4
2008-01,0
2008-02,0
2008-03,5
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,7
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,35
2010-07,54
2010-08,65
2010-09,53
2010-10,30
2010-11,64
2010-12,86
2011-01,59
2011-02,49
2011-03,51
2011-04,34
2011-05,67
2011-06,50
2011-07,60
2011-08,63
2011-09,55
2011-10,100
2011-11,76
2011-12,62
2012-01,47
2012-02,52
2012-03,48
2012-04,49
2012-05,41
2012-06,43
2012-07,45
2012-08,35
2012-09,55
2012-10,50
2012-11,65
2012-12,53
2013-01,41
2013-02,36
2013-03,34
2013-04,33
2013-05,35
2013-06,19
2013-07,32
2013-08,37
2013-09,28
2013-10,35
2013-11,20
2013-12,16
2014-01,18
2014-02,19
2014-03,9
2014-04,13
2014-05,14
2014-06,16
2014-07,5
2014-08,21
2014-09,14
2014-10,13
2014-11,9
2014-12,8
2015-01,8
2015-02,12
2015-03,12
2015-04,14
2015-05,7
2015-06,8
2015-07,11
2015-08,11
2015-09,8
2015-10,4
2015-11,7
2015-12,5
2016-01,4
2016-02,7
2016-03,6
2016-04,12
2016-05,6
2016-06,4
2016-07,4
2016-08,8
2016-09,5
2016-10,5
2016-11,3
2016-12,3
2017-01,5
2017-02,4
2017-03,3
2017-04,3
2017-05,5
2017-06,2
2017-07,3
2017-08,3
2017-09,3
2017-10,3
2017-11,1
2017-12,4
2018-01,2
2018-02,3
2018-03,5
2018-04,3
2018-05,2
2018-06,3
2018-07,2
2018-08,3
2018-09,4
2018-10,5
2018-11,6
2018-12,4
2019-01,4
2019-02,3
2019-03,8
2019-04,6
2019-05,4
2019-06,3
2019-07,4
2019-08,7
2019-09,4
2019-10,3
2019-11,8
2019-12,5
2020-01,4
2020-02,4
2020-03,4
2020-04,3
2020-05,2
2020-06,6
