Mois,Apple iPhone 4s
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,93
2011-11,86
2011-12,88
2012-01,72
2012-02,72
2012-03,73
2012-04,66
2012-05,74
2012-06,93
2012-07,93
2012-08,84
2012-09,86
2012-10,100
2012-11,93
2012-12,91
2013-01,75
2013-02,68
2013-03,45
2013-04,51
2013-05,38
2013-06,36
2013-07,57
2013-08,38
2013-09,50
2013-10,40
2013-11,42
2013-12,38
2014-01,41
2014-02,24
2014-03,28
2014-04,34
2014-05,25
2014-06,30
2014-07,33
2014-08,30
2014-09,31
2014-10,17
2014-11,23
2014-12,15
2015-01,19
2015-02,11
2015-03,15
2015-04,16
2015-05,28
2015-06,7
2015-07,13
2015-08,13
2015-09,12
2015-10,9
2015-11,11
2015-12,8
2016-01,13
2016-02,7
2016-03,6
2016-04,11
2016-05,4
2016-06,8
2016-07,11
2016-08,13
2016-09,7
2016-10,4
2016-11,6
2016-12,5
2017-01,3
2017-02,3
2017-03,4
2017-04,3
2017-05,2
2017-06,2
2017-07,3
2017-08,5
2017-09,0
2017-10,5
2017-11,6
2017-12,2
2018-01,4
2018-02,2
2018-03,0
2018-04,4
2018-05,2
2018-06,0
2018-07,4
2018-08,2
2018-09,0
2018-10,2
2018-11,2
2018-12,2
2019-01,2
2019-02,2
2019-03,2
2019-04,2
2019-05,2
2019-06,0
2019-07,5
2019-08,2
2019-09,2
2019-10,1
2019-11,0
2019-12,1
2020-01,1
2020-02,1
2020-03,1
2020-04,2
2020-05,2
2020-06,4
