Mois,Apple iPhone 5s
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,7
2012-08,0
2012-09,0
2012-10,6
2012-11,5
2012-12,5
2013-01,0
2013-02,8
2013-03,9
2013-04,8
2013-05,8
2013-06,9
2013-07,9
2013-08,8
2013-09,63
2013-10,100
2013-11,94
2013-12,75
2014-01,69
2014-02,75
2014-03,56
2014-04,58
2014-05,52
2014-06,62
2014-07,54
2014-08,56
2014-09,75
2014-10,60
2014-11,56
2014-12,42
2015-01,39
2015-02,39
2015-03,52
2015-04,46
2015-05,50
2015-06,59
2015-07,61
2015-08,50
2015-09,45
2015-10,42
2015-11,60
2015-12,51
2016-01,58
2016-02,46
2016-03,62
2016-04,47
2016-05,61
2016-06,51
2016-07,49
2016-08,75
2016-09,58
2016-10,39
2016-11,42
2016-12,44
2017-01,38
2017-02,21
2017-03,19
2017-04,22
2017-05,27
2017-06,18
2017-07,23
2017-08,23
2017-09,17
2017-10,27
2017-11,21
2017-12,17
2018-01,21
2018-02,13
2018-03,19
2018-04,10
2018-05,8
2018-06,7
2018-07,10
2018-08,9
2018-09,6
2018-10,9
2018-11,9
2018-12,3
2019-01,6
2019-02,3
2019-03,3
2019-04,5
2019-05,6
2019-06,3
2019-07,4
2019-08,7
2019-09,4
2019-10,6
2019-11,6
2019-12,2
2020-01,2
2020-02,7
2020-03,6
2020-04,4
2020-05,5
2020-06,3
