Mois,Apple iPhone 7 Plus
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,12
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,9
2015-03,0
2015-04,0
2015-05,0
2015-06,9
2015-07,0
2015-08,8
2015-09,13
2015-10,6
2015-11,5
2015-12,9
2016-01,9
2016-02,5
2016-03,5
2016-04,5
2016-05,0
2016-06,4
2016-07,4
2016-08,5
2016-09,41
2016-10,53
2016-11,56
2016-12,63
2017-01,85
2017-02,73
2017-03,59
2017-04,44
2017-05,53
2017-06,57
2017-07,67
2017-08,72
2017-09,100
2017-10,70
2017-11,86
2017-12,66
2018-01,61
2018-02,57
2018-03,59
2018-04,50
2018-05,50
2018-06,64
2018-07,49
2018-08,44
2018-09,63
2018-10,46
2018-11,43
2018-12,46
2019-01,51
2019-02,40
2019-03,48
2019-04,41
2019-05,46
2019-06,46
2019-07,53
2019-08,45
2019-09,52
2019-10,67
2019-11,52
2019-12,58
2020-01,59
2020-02,42
2020-03,46
2020-04,48
2020-05,38
2020-06,37
