Mois,Apple iPhone X
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,13
2010-04,0
2010-05,0
2010-06,15
2010-07,12
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,8
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,8
2012-06,0
2012-07,10
2012-08,0
2012-09,11
2012-10,0
2012-11,8
2012-12,8
2013-01,9
2013-02,12
2013-03,13
2013-04,0
2013-05,12
2013-06,0
2013-07,13
2013-08,0
2013-09,0
2013-10,10
2013-11,0
2013-12,9
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,6
2014-11,0
2014-12,0
2015-01,0
2015-02,7
2015-03,6
2015-04,6
2015-05,0
2015-06,6
2015-07,0
2015-08,0
2015-09,5
2015-10,4
2015-11,4
2015-12,3
2016-01,3
2016-02,4
2016-03,5
2016-04,17
2016-05,3
2016-06,3
2016-07,3
2016-08,5
2016-09,0
2016-10,5
2016-11,2
2016-12,4
2017-01,2
2017-02,3
2017-03,0
2017-04,3
2017-05,0
2017-06,3
2017-07,0
2017-08,3
2017-09,41
2017-10,44
2017-11,100
2017-12,84
2018-01,81
2018-02,74
2018-03,57
2018-04,69
2018-05,58
2018-06,66
2018-07,64
2018-08,64
2018-09,95
2018-10,71
2018-11,82
2018-12,70
2019-01,66
2019-02,69
2019-03,69
2019-04,83
2019-05,74
2019-06,69
2019-07,62
2019-08,59
2019-09,85
2019-10,75
2019-11,62
2019-12,52
2020-01,58
2020-02,56
2020-03,45
2020-04,46
2020-05,41
2020-06,41
