Mois,Galaxy Core Plus
2008-01,0
2008-02,20
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,10
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,18
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,13
2014-01,13
2014-02,19
2014-03,23
2014-04,17
2014-05,65
2014-06,58
2014-07,100
2014-08,75
2014-09,75
2014-10,53
2014-11,58
2014-12,67
2015-01,64
2015-02,82
2015-03,57
2015-04,61
2015-05,73
2015-06,59
2015-07,45
2015-08,36
2015-09,40
2015-10,32
2015-11,33
2015-12,27
2016-01,23
2016-02,18
2016-03,21
2016-04,26
2016-05,16
2016-06,13
2016-07,16
2016-08,27
2016-09,15
2016-10,13
2016-11,14
2016-12,17
2017-01,10
2017-02,13
2017-03,10
2017-04,9
2017-05,10
2017-06,13
2017-07,6
2017-08,5
2017-09,5
2017-10,10
2017-11,4
2017-12,7
2018-01,5
2018-02,10
2018-03,5
2018-04,5
2018-05,0
2018-06,5
2018-07,9
2018-08,4
2018-09,9
2018-10,8
2018-11,4
2018-12,4
2019-01,4
2019-02,4
2019-03,7
2019-04,5
2019-05,4
2019-06,8
2019-07,6
2019-08,8
2019-09,4
2019-10,6
2019-11,0
2019-12,6
2020-01,0
2020-02,3
2020-03,0
2020-04,5
2020-05,4
2020-06,5
