Mois,Galaxy Trend Plus
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,18
2014-01,37
2014-02,36
2014-03,97
2014-04,42
2014-05,31
2014-06,33
2014-07,100
2014-08,28
2014-09,47
2014-10,48
2014-11,67
2014-12,72
2015-01,44
2015-02,69
2015-03,37
2015-04,50
2015-05,60
2015-06,38
2015-07,48
2015-08,11
2015-09,19
2015-10,28
2015-11,18
2015-12,12
2016-01,20
2016-02,7
2016-03,7
2016-04,20
2016-05,6
2016-06,6
2016-07,12
2016-08,9
2016-09,11
2016-10,10
2016-11,7
2016-12,4
2017-01,16
2017-02,11
2017-03,6
2017-04,6
2017-05,0
2017-06,6
2017-07,6
2017-08,6
2017-09,7
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,7
2018-04,7
2018-05,7
2018-06,7
2018-07,0
2018-08,0
2018-09,6
2018-10,0
2018-11,10
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,6
2019-06,6
2019-07,6
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,4
2020-01,0
2020-02,5
2020-03,0
2020-04,0
2020-05,0
2020-06,0
