Mois,Huawei Ascend G700
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,45
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,37
2013-10,51
2013-11,51
2013-12,33
2014-01,100
2014-02,65
2014-03,44
2014-04,74
2014-05,55
2014-06,30
2014-07,51
2014-08,0
2014-09,48
2014-10,21
2014-11,0
2014-12,17
2015-01,30
2015-02,0
2015-03,0
2015-04,22
2015-05,0
2015-06,23
2015-07,0
2015-08,20
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,12
2016-03,12
2016-04,0
2016-05,11
2016-06,0
2016-07,10
2016-08,10
2016-09,10
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,10
2017-03,0
2017-04,0
2017-05,10
2017-06,0
2017-07,0
2017-08,12
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,11
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
