Mois,Huawei Ascend Mate
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,28
2013-02,15
2013-03,18
2013-04,17
2013-05,48
2013-06,55
2013-07,18
2013-08,21
2013-09,21
2013-10,34
2013-11,19
2013-12,25
2014-01,25
2014-02,21
2014-03,11
2014-04,11
2014-05,16
2014-06,0
2014-07,10
2014-08,19
2014-09,27
2014-10,27
2014-11,44
2014-12,56
2015-01,53
2015-02,51
2015-03,52
2015-04,54
2015-05,57
2015-06,100
2015-07,44
2015-08,50
2015-09,39
2015-10,44
2015-11,54
2015-12,43
2016-01,39
2016-02,21
2016-03,22
2016-04,22
2016-05,14
2016-06,15
2016-07,20
2016-08,16
2016-09,9
2016-10,10
2016-11,12
2016-12,15
2017-01,13
2017-02,23
2017-03,6
2017-04,5
2017-05,8
2017-06,4
2017-07,9
2017-08,6
2017-09,10
2017-10,5
2017-11,4
2017-12,4
2018-01,4
2018-02,7
2018-03,6
2018-04,5
2018-05,5
2018-06,10
2018-07,4
2018-08,4
2018-09,4
2018-10,0
2018-11,4
2018-12,4
2019-01,4
2019-02,4
2019-03,4
2019-04,0
2019-05,6
2019-06,0
2019-07,8
2019-08,4
2019-09,0
2019-10,3
2019-11,0
2019-12,0
2020-01,3
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
