Mois,Huawei Ascend P6
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,31
2013-07,76
2013-08,100
2013-09,86
2013-10,61
2013-11,64
2013-12,70
2014-01,60
2014-02,56
2014-03,45
2014-04,36
2014-05,35
2014-06,40
2014-07,33
2014-08,34
2014-09,18
2014-10,16
2014-11,31
2014-12,22
2015-01,20
2015-02,15
2015-03,19
2015-04,17
2015-05,17
2015-06,9
2015-07,8
2015-08,13
2015-09,4
2015-10,11
2015-11,3
2015-12,4
2016-01,6
2016-02,5
2016-03,4
2016-04,4
2016-05,4
2016-06,6
2016-07,3
2016-08,5
2016-09,0
2016-10,5
2016-11,4
2016-12,2
2017-01,2
2017-02,3
2017-03,0
2017-04,3
2017-05,3
2017-06,0
2017-07,0
2017-08,3
2017-09,0
2017-10,0
2017-11,3
2017-12,0
2018-01,0
2018-02,0
2018-03,3
2018-04,0
2018-05,3
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,3
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,2
2020-05,0
2020-06,0
