Mois,Huawei GR5
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,31
2016-02,49
2016-03,51
2016-04,30
2016-05,0
2016-06,29
2016-07,0
2016-08,41
2016-09,0
2016-10,36
2016-11,36
2016-12,47
2017-01,22
2017-02,35
2017-03,52
2017-04,72
2017-05,64
2017-06,59
2017-07,40
2017-08,60
2017-09,56
2017-10,48
2017-11,42
2017-12,83
2018-01,46
2018-02,70
2018-03,52
2018-04,45
2018-05,48
2018-06,100
2018-07,45
2018-08,43
2018-09,73
2018-10,28
2018-11,25
2018-12,37
2019-01,54
2019-02,29
2019-03,29
2019-04,41
2019-05,29
2019-06,55
2019-07,52
2019-08,26
2019-09,44
2019-10,40
2019-11,43
2019-12,21
2020-01,43
2020-02,23
2020-03,31
2020-04,17
2020-05,43
2020-06,23
