Mois,Huawei Honor 2
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,40
2012-12,38
2013-01,88
2013-02,100
2013-03,68
2013-04,0
2013-05,63
2013-06,0
2013-07,68
2013-08,0
2013-09,0
2013-10,50
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,38
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,29
2015-02,0
2015-03,0
2015-04,33
2015-05,0
2015-06,34
2015-07,32
2015-08,29
2015-09,0
2015-10,21
2015-11,18
2015-12,0
2016-01,17
2016-02,0
2016-03,17
2016-04,17
2016-05,16
2016-06,16
2016-07,0
2016-08,23
2016-09,15
2016-10,27
2016-11,0
2016-12,11
2017-01,38
2017-02,30
2017-03,15
2017-04,0
2017-05,23
2017-06,17
2017-07,17
2017-08,34
2017-09,19
2017-10,0
2017-11,40
2017-12,16
2018-01,29
2018-02,0
2018-03,35
2018-04,19
2018-05,24
2018-06,28
2018-07,17
2018-08,32
2018-09,17
2018-10,37
2018-11,28
2018-12,41
2019-01,30
2019-02,32
2019-03,50
2019-04,52
2019-05,27
2019-06,15
2019-07,37
2019-08,15
2019-09,25
2019-10,20
2019-11,24
2019-12,32
2020-01,24
2020-02,32
2020-03,12
2020-04,24
2020-05,32
2020-06,17
