Mois,Huawei P8 Lite
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,4
2015-05,22
2015-06,25
2015-07,33
2015-08,39
2015-09,51
2015-10,46
2015-11,67
2015-12,80
2016-01,76
2016-02,60
2016-03,63
2016-04,80
2016-05,56
2016-06,66
2016-07,82
2016-08,76
2016-09,70
2016-10,74
2016-11,66
2016-12,90
2017-01,76
2017-02,76
2017-03,81
2017-04,70
2017-05,73
2017-06,77
2017-07,80
2017-08,98
2017-09,74
2017-10,74
2017-11,86
2017-12,100
2018-01,82
2018-02,69
2018-03,71
2018-04,58
2018-05,59
2018-06,53
2018-07,49
2018-08,43
2018-09,33
2018-10,32
2018-11,32
2018-12,24
2019-01,24
2019-02,19
2019-03,23
2019-04,29
2019-05,15
2019-06,22
2019-07,17
2019-08,18
2019-09,15
2019-10,13
2019-11,13
2019-12,9
2020-01,7
2020-02,11
2020-03,10
2020-04,11
2020-05,9
2020-06,8
