Mois,Huawei P9
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,1
2015-05,0
2015-06,2
2015-07,0
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,2
2016-04,18
2016-05,47
2016-06,67
2016-07,75
2016-08,73
2016-09,90
2016-10,82
2016-11,91
2016-12,100
2017-01,98
2017-02,78
2017-03,69
2017-04,65
2017-05,54
2017-06,55
2017-07,59
2017-08,54
2017-09,43
2017-10,47
2017-11,42
2017-12,41
2018-01,42
2018-02,38
2018-03,32
2018-04,26
2018-05,30
2018-06,35
2018-07,31
2018-08,30
2018-09,25
2018-10,19
2018-11,22
2018-12,18
2019-01,15
2019-02,16
2019-03,16
2019-04,14
2019-05,16
2019-06,12
2019-07,12
2019-08,12
2019-09,11
2019-10,10
2019-11,7
2019-12,9
2020-01,8
2020-02,7
2020-03,7
2020-04,6
2020-05,7
2020-06,5
