Mois,Huawei Y6
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,3
2015-10,3
2015-11,6
2015-12,14
2016-01,12
2016-02,9
2016-03,16
2016-04,11
2016-05,14
2016-06,20
2016-07,18
2016-08,16
2016-09,18
2016-10,21
2016-11,22
2016-12,27
2017-01,43
2017-02,21
2017-03,22
2017-04,23
2017-05,22
2017-06,21
2017-07,34
2017-08,27
2017-09,18
2017-10,18
2017-11,30
2017-12,34
2018-01,34
2018-02,27
2018-03,26
2018-04,27
2018-05,36
2018-06,50
2018-07,50
2018-08,66
2018-09,68
2018-10,57
2018-11,74
2018-12,71
2019-01,64
2019-02,69
2019-03,90
2019-04,84
2019-05,100
2019-06,90
2019-07,86
2019-08,84
2019-09,91
2019-10,84
2019-11,92
2019-12,88
2020-01,76
2020-02,77
2020-03,75
2020-04,61
2020-05,81
2020-06,78
