Mois,Motorola Edge
2008-01,0
2008-02,38
2008-03,38
2008-04,38
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,36
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,25
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,27
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,23
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,16
2015-04,17
2015-05,0
2015-06,17
2015-07,25
2015-08,0
2015-09,26
2015-10,11
2015-11,13
2015-12,17
2016-01,9
2016-02,10
2016-03,9
2016-04,27
2016-05,8
2016-06,8
2016-07,20
2016-08,10
2016-09,16
2016-10,14
2016-11,19
2016-12,20
2017-01,13
2017-02,11
2017-03,7
2017-04,8
2017-05,21
2017-06,17
2017-07,0
2017-08,13
2017-09,10
2017-10,14
2017-11,16
2017-12,8
2018-01,18
2018-02,40
2018-03,0
2018-04,10
2018-05,9
2018-06,16
2018-07,12
2018-08,11
2018-09,0
2018-10,8
2018-11,9
2018-12,7
2019-01,16
2019-02,8
2019-03,9
2019-04,9
2019-05,0
2019-06,8
2019-07,11
2019-08,0
2019-09,8
2019-10,7
2019-11,6
2019-12,0
2020-01,13
2020-02,13
2020-03,10
2020-04,38
2020-05,60
2020-06,100
