Mois,Motorola Moto X
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,7
2011-04,0
2011-05,7
2011-06,0
2011-07,8
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,11
2013-07,0
2013-08,43
2013-09,30
2013-10,30
2013-11,68
2013-12,48
2014-01,51
2014-02,57
2014-03,47
2014-04,37
2014-05,58
2014-06,49
2014-07,56
2014-08,51
2014-09,100
2014-10,81
2014-11,72
2014-12,61
2015-01,55
2015-02,43
2015-03,57
2015-04,41
2015-05,43
2015-06,48
2015-07,60
2015-08,57
2015-09,74
2015-10,47
2015-11,72
2015-12,52
2016-01,49
2016-02,41
2016-03,54
2016-04,48
2016-05,50
2016-06,46
2016-07,40
2016-08,48
2016-09,38
2016-10,22
2016-11,32
2016-12,23
2017-01,25
2017-02,28
2017-03,22
2017-04,16
2017-05,16
2017-06,14
2017-07,14
2017-08,18
2017-09,20
2017-10,18
2017-11,13
2017-12,6
2018-01,10
2018-02,9
2018-03,17
2018-04,9
2018-05,6
2018-06,8
2018-07,10
2018-08,4
2018-09,7
2018-10,4
2018-11,5
2018-12,5
2019-01,7
2019-02,6
2019-03,7
2019-04,7
2019-05,5
2019-06,8
2019-07,9
2019-08,7
2019-09,4
2019-10,6
2019-11,4
2019-12,5
2020-01,4
2020-02,3
2020-03,3
2020-04,3
2020-05,5
2020-06,3
