Mois,Motorola One
2008-01,5
2008-02,0
2008-03,3
2008-04,0
2008-05,0
2008-06,4
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,5
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,3
2009-12,3
2010-01,6
2010-02,6
2010-03,3
2010-04,8
2010-05,9
2010-06,5
2010-07,7
2010-08,5
2010-09,0
2010-10,3
2010-11,0
2010-12,4
2011-01,0
2011-02,2
2011-03,2
2011-04,2
2011-05,2
2011-06,6
2011-07,3
2011-08,2
2011-09,2
2011-10,2
2011-11,2
2011-12,2
2012-01,2
2012-02,2
2012-03,2
2012-04,3
2012-05,5
2012-06,6
2012-07,4
2012-08,9
2012-09,5
2012-10,3
2012-11,3
2012-12,4
2013-01,4
2013-02,5
2013-03,3
2013-04,3
2013-05,3
2013-06,5
2013-07,3
2013-08,4
2013-09,3
2013-10,4
2013-11,0
2013-12,2
2014-01,2
2014-02,5
2014-03,4
2014-04,3
2014-05,4
2014-06,0
2014-07,2
2014-08,3
2014-09,0
2014-10,3
2014-11,3
2014-12,1
2015-01,3
2015-02,0
2015-03,2
2015-04,2
2015-05,2
2015-06,4
2015-07,3
2015-08,2
2015-09,2
2015-10,0
2015-11,2
2015-12,1
2016-01,2
2016-02,1
2016-03,1
2016-04,1
2016-05,2
2016-06,1
2016-07,2
2016-08,2
2016-09,2
2016-10,2
2016-11,1
2016-12,1
2017-01,1
2017-02,2
2017-03,1
2017-04,1
2017-05,1
2017-06,1
2017-07,2
2017-08,1
2017-09,1
2017-10,1
2017-11,1
2017-12,0
2018-01,1
2018-02,2
2018-03,1
2018-04,1
2018-05,1
2018-06,2
2018-07,1
2018-08,2
2018-09,4
2018-10,49
2018-11,35
2018-12,25
2019-01,28
2019-02,29
2019-03,24
2019-04,26
2019-05,44
2019-06,52
2019-07,43
2019-08,55
2019-09,68
2019-10,71
2019-11,91
2019-12,81
2020-01,83
2020-02,85
2020-03,76
2020-04,75
2020-05,96
2020-06,100
