Mois,OnePlus One
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,43
2014-05,49
2014-06,64
2014-07,70
2014-08,75
2014-09,64
2014-10,100
2014-11,82
2014-12,75
2015-01,82
2015-02,47
2015-03,53
2015-04,70
2015-05,31
2015-06,73
2015-07,66
2015-08,62
2015-09,68
2015-10,34
2015-11,30
2015-12,34
2016-01,28
2016-02,19
2016-03,21
2016-04,17
2016-05,12
2016-06,22
2016-07,33
2016-08,29
2016-09,26
2016-10,19
2016-11,19
2016-12,19
2017-01,18
2017-02,16
2017-03,12
2017-04,11
2017-05,8
2017-06,15
2017-07,12
2017-08,7
2017-09,9
2017-10,8
2017-11,9
2017-12,9
2018-01,10
2018-02,10
2018-03,12
2018-04,11
2018-05,9
2018-06,9
2018-07,6
2018-08,9
2018-09,5
2018-10,10
2018-11,10
2018-12,8
2019-01,6
2019-02,5
2019-03,5
2019-04,12
2019-05,17
2019-06,15
2019-07,6
2019-08,9
2019-09,8
2019-10,11
2019-11,9
2019-12,7
2020-01,11
2020-02,14
2020-03,14
2020-04,12
2020-05,18
2020-06,16
