Mois,Samsung Ativ S
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,10
2012-11,58
2012-12,39
2013-01,45
2013-02,66
2013-03,65
2013-04,53
2013-05,95
2013-06,93
2013-07,100
2013-08,76
2013-09,60
2013-10,55
2013-11,40
2013-12,24
2014-01,54
2014-02,26
2014-03,33
2014-04,14
2014-05,27
2014-06,10
2014-07,22
2014-08,22
2014-09,8
2014-10,9
2014-11,8
2014-12,11
2015-01,16
2015-02,7
2015-03,7
2015-04,7
2015-05,7
2015-06,0
2015-07,7
2015-08,6
2015-09,6
2015-10,0
2015-11,4
2015-12,4
2016-01,8
2016-02,4
2016-03,4
2016-04,4
2016-05,4
2016-06,4
2016-07,3
2016-08,3
2016-09,7
2016-10,4
2016-11,5
2016-12,0
2017-01,0
2017-02,0
2017-03,3
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,4
2017-10,0
2017-11,0
2017-12,0
2018-01,4
2018-02,0
2018-03,4
2018-04,4
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,4
2019-04,4
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,3
2020-03,0
2020-04,0
2020-05,0
2020-06,0
