Mois,Samsung Galaxy A3
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,7
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,3
2014-12,4
2015-01,16
2015-02,34
2015-03,33
2015-04,50
2015-05,30
2015-06,50
2015-07,42
2015-08,48
2015-09,50
2015-10,51
2015-11,51
2015-12,63
2016-01,61
2016-02,80
2016-03,88
2016-04,61
2016-05,69
2016-06,88
2016-07,89
2016-08,100
2016-09,74
2016-10,91
2016-11,81
2016-12,81
2017-01,88
2017-02,93
2017-03,78
2017-04,64
2017-05,59
2017-06,79
2017-07,63
2017-08,74
2017-09,51
2017-10,63
2017-11,61
2017-12,50
2018-01,46
2018-02,51
2018-03,47
2018-04,34
2018-05,37
2018-06,38
2018-07,43
2018-08,32
2018-09,22
2018-10,28
2018-11,17
2018-12,17
2019-01,19
2019-02,14
2019-03,13
2019-04,16
2019-05,11
2019-06,12
2019-07,16
2019-08,12
2019-09,11
2019-10,14
2019-11,14
2019-12,7
2020-01,10
2020-02,6
2020-03,10
2020-04,8
2020-05,7
2020-06,8
