Mois,Samsung Galaxy Ace 3
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,20
2011-03,0
2011-04,19
2011-05,23
2011-06,18
2011-07,18
2011-08,15
2011-09,0
2011-10,0
2011-11,16
2011-12,18
2012-01,22
2012-02,27
2012-03,22
2012-04,37
2012-05,31
2012-06,34
2012-07,26
2012-08,71
2012-09,41
2012-10,34
2012-11,44
2012-12,35
2013-01,54
2013-02,66
2013-03,50
2013-04,49
2013-05,23
2013-06,26
2013-07,25
2013-08,68
2013-09,88
2013-10,62
2013-11,74
2013-12,65
2014-01,96
2014-02,100
2014-03,63
2014-04,81
2014-05,90
2014-06,74
2014-07,69
2014-08,54
2014-09,61
2014-10,46
2014-11,37
2014-12,53
2015-01,25
2015-02,37
2015-03,31
2015-04,20
2015-05,27
2015-06,29
2015-07,27
2015-08,28
2015-09,14
2015-10,18
2015-11,14
2015-12,8
2016-01,19
2016-02,7
2016-03,9
2016-04,8
2016-05,6
2016-06,16
2016-07,6
2016-08,7
2016-09,9
2016-10,7
2016-11,9
2016-12,10
2017-01,5
2017-02,11
2017-03,8
2017-04,11
2017-05,6
2017-06,6
2017-07,0
2017-08,0
2017-09,10
2017-10,13
2017-11,6
2017-12,0
2018-01,0
2018-02,7
2018-03,6
2018-04,0
2018-05,7
2018-06,7
2018-07,0
2018-08,0
2018-09,6
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,11
2019-07,0
2019-08,5
2019-09,0
2019-10,0
2019-11,4
2019-12,0
2020-01,0
2020-02,5
2020-03,0
2020-04,0
2020-05,0
2020-06,0
