Mois,Samsung Galaxy Ace Duos
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,11
2011-11,0
2011-12,0
2012-01,8
2012-02,10
2012-03,0
2012-04,9
2012-05,18
2012-06,17
2012-07,41
2012-08,79
2012-09,80
2012-10,100
2012-11,34
2012-12,63
2013-01,79
2013-02,60
2013-03,54
2013-04,43
2013-05,27
2013-06,51
2013-07,30
2013-08,35
2013-09,28
2013-10,22
2013-11,22
2013-12,10
2014-01,11
2014-02,21
2014-03,0
2014-04,14
2014-05,9
2014-06,14
2014-07,8
2014-08,12
2014-09,8
2014-10,7
2014-11,6
2014-12,9
2015-01,6
2015-02,7
2015-03,7
2015-04,7
2015-05,7
2015-06,14
2015-07,7
2015-08,10
2015-09,8
2015-10,9
2015-11,4
2015-12,10
2016-01,0
2016-02,12
2016-03,6
2016-04,0
2016-05,6
2016-06,0
2016-07,3
2016-08,10
2016-09,6
2016-10,3
2016-11,3
2016-12,5
2017-01,3
2017-02,3
2017-03,0
2017-04,0
2017-05,3
2017-06,0
2017-07,0
2017-08,0
2017-09,4
2017-10,4
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,4
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,3
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,3
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
