Mois,Samsung Galaxy Ace Plus
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,8
2011-11,7
2011-12,12
2012-01,15
2012-02,11
2012-03,14
2012-04,35
2012-05,51
2012-06,55
2012-07,73
2012-08,90
2012-09,100
2012-10,69
2012-11,62
2012-12,55
2013-01,54
2013-02,29
2013-03,35
2013-04,25
2013-05,26
2013-06,32
2013-07,16
2013-08,15
2013-09,31
2013-10,14
2013-11,16
2013-12,5
2014-01,7
2014-02,8
2014-03,11
2014-04,5
2014-05,0
2014-06,4
2014-07,6
2014-08,5
2014-09,7
2014-10,3
2014-11,3
2014-12,5
2015-01,6
2015-02,7
2015-03,3
2015-04,0
2015-05,0
2015-06,7
2015-07,0
2015-08,3
2015-09,0
2015-10,2
2015-11,2
2015-12,3
2016-01,0
2016-02,0
2016-03,2
2016-04,2
2016-05,2
2016-06,3
2016-07,2
2016-08,2
2016-09,2
2016-10,1
2016-11,1
2016-12,0
2017-01,1
2017-02,0
2017-03,1
2017-04,3
2017-05,0
2017-06,0
2017-07,0
2017-08,2
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,2
2018-07,0
2018-08,0
2018-09,3
2018-10,2
2018-11,0
2018-12,1
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,2
2019-08,1
2019-09,0
2019-10,1
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
