Mois,Samsung Galaxy C7
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,50
2011-02,0
2011-03,34
2011-04,0
2011-05,48
2011-06,57
2011-07,69
2011-08,46
2011-09,41
2011-10,100
2011-11,76
2011-12,34
2012-01,45
2012-02,46
2012-03,31
2012-04,29
2012-05,29
2012-06,32
2012-07,36
2012-08,0
2012-09,39
2012-10,32
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,28
2014-06,0
2014-07,0
2014-08,25
2014-09,24
2014-10,0
2014-11,19
2014-12,17
2015-01,0
2015-02,0
2015-03,22
2015-04,23
2015-05,0
2015-06,23
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,24
2016-02,0
2016-03,0
2016-04,12
2016-05,11
2016-06,15
2016-07,14
2016-08,28
2016-09,17
2016-10,23
2016-11,14
2016-12,36
2017-01,37
2017-02,48
2017-03,37
2017-04,31
2017-05,42
2017-06,38
2017-07,41
2017-08,19
2017-09,39
2017-10,12
2017-11,27
2017-12,14
2018-01,12
2018-02,23
2018-03,30
2018-04,13
2018-05,25
2018-06,38
2018-07,27
2018-08,22
2018-09,11
2018-10,22
2018-11,9
2018-12,10
2019-01,10
2019-02,0
2019-03,11
2019-04,12
2019-05,0
2019-06,11
2019-07,10
2019-08,0
2019-09,0
2019-10,9
2019-11,0
2019-12,8
2020-01,8
2020-02,9
2020-03,8
2020-04,6
2020-05,5
2020-06,9
