Mois,Samsung Galaxy Core 2
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,32
2011-03,0
2011-04,0
2011-05,0
2011-06,30
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,31
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,23
2013-01,0
2013-02,0
2013-03,41
2013-04,0
2013-05,37
2013-06,43
2013-07,41
2013-08,36
2013-09,33
2013-10,0
2013-11,30
2013-12,29
2014-01,0
2014-02,43
2014-03,25
2014-04,26
2014-05,24
2014-06,0
2014-07,67
2014-08,22
2014-09,42
2014-10,62
2014-11,75
2014-12,100
2015-01,92
2015-02,98
2015-03,82
2015-04,68
2015-05,69
2015-06,72
2015-07,63
2015-08,57
2015-09,85
2015-10,68
2015-11,33
2015-12,55
2016-01,34
2016-02,51
2016-03,44
2016-04,37
2016-05,13
2016-06,19
2016-07,55
2016-08,24
2016-09,22
2016-10,21
2016-11,19
2016-12,24
2017-01,25
2017-02,18
2017-03,17
2017-04,0
2017-05,21
2017-06,24
2017-07,17
2017-08,13
2017-09,11
2017-10,21
2017-11,0
2017-12,9
2018-01,15
2018-02,12
2018-03,0
2018-04,11
2018-05,0
2018-06,11
2018-07,0
2018-08,10
2018-09,13
2018-10,9
2018-11,0
2018-12,8
2019-01,18
2019-02,15
2019-03,10
2019-04,15
2019-05,20
2019-06,18
2019-07,9
2019-08,12
2019-09,9
2019-10,0
2019-11,7
2019-12,0
2020-01,7
2020-02,8
2020-03,14
2020-04,9
2020-05,11
2020-06,27
