Mois,Samsung Galaxy Core
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,7
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,9
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,4
2011-12,4
2012-01,4
2012-02,4
2012-03,0
2012-04,4
2012-05,4
2012-06,5
2012-07,5
2012-08,5
2012-09,6
2012-10,7
2012-11,6
2012-12,4
2013-01,9
2013-02,0
2013-03,10
2013-04,16
2013-05,10
2013-06,21
2013-07,14
2013-08,12
2013-09,22
2013-10,25
2013-11,15
2013-12,33
2014-01,29
2014-02,28
2014-03,38
2014-04,30
2014-05,42
2014-06,44
2014-07,48
2014-08,46
2014-09,59
2014-10,65
2014-11,43
2014-12,58
2015-01,51
2015-02,60
2015-03,53
2015-04,46
2015-05,68
2015-06,77
2015-07,71
2015-08,85
2015-09,93
2015-10,76
2015-11,90
2015-12,97
2016-01,85
2016-02,100
2016-03,84
2016-04,60
2016-05,53
2016-06,49
2016-07,61
2016-08,49
2016-09,40
2016-10,29
2016-11,28
2016-12,28
2017-01,27
2017-02,27
2017-03,27
2017-04,15
2017-05,22
2017-06,17
2017-07,16
2017-08,19
2017-09,17
2017-10,18
2017-11,16
2017-12,11
2018-01,13
2018-02,20
2018-03,12
2018-04,11
2018-05,9
2018-06,12
2018-07,9
2018-08,6
2018-09,10
2018-10,9
2018-11,4
2018-12,4
2019-01,6
2019-02,8
2019-03,11
2019-04,7
2019-05,6
2019-06,9
2019-07,9
2019-08,9
2019-09,10
2019-10,8
2019-11,9
2019-12,7
2020-01,5
2020-02,6
2020-03,9
2020-04,7
2020-05,8
2020-06,9
