Mois,Samsung Galaxy Express
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,16
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,15
2012-04,0
2012-05,14
2012-06,0
2012-07,17
2012-08,18
2012-09,0
2012-10,0
2012-11,0
2012-12,13
2013-01,24
2013-02,30
2013-03,60
2013-04,29
2013-05,48
2013-06,86
2013-07,91
2013-08,82
2013-09,97
2013-10,44
2013-11,100
2013-12,48
2014-01,98
2014-02,69
2014-03,52
2014-04,53
2014-05,27
2014-06,43
2014-07,56
2014-08,24
2014-09,23
2014-10,47
2014-11,21
2014-12,17
2015-01,19
2015-02,16
2015-03,18
2015-04,32
2015-05,26
2015-06,11
2015-07,14
2015-08,0
2015-09,11
2015-10,7
2015-11,8
2015-12,13
2016-01,11
2016-02,10
2016-03,6
2016-04,14
2016-05,18
2016-06,27
2016-07,39
2016-08,40
2016-09,33
2016-10,24
2016-11,15
2016-12,38
2017-01,29
2017-02,34
2017-03,13
2017-04,25
2017-05,32
2017-06,26
2017-07,9
2017-08,30
2017-09,23
2017-10,22
2017-11,19
2017-12,14
2018-01,19
2018-02,9
2018-03,18
2018-04,12
2018-05,9
2018-06,6
2018-07,17
2018-08,5
2018-09,11
2018-10,10
2018-11,11
2018-12,9
2019-01,5
2019-02,5
2019-03,0
2019-04,11
2019-05,5
2019-06,8
2019-07,10
2019-08,5
2019-09,5
2019-10,0
2019-11,0
2019-12,5
2020-01,4
2020-02,9
2020-03,0
2020-04,0
2020-05,3
2020-06,4
