Mois,Samsung Galaxy Grand 2
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,25
2012-11,0
2012-12,0
2013-01,23
2013-02,0
2013-03,36
2013-04,35
2013-05,33
2013-06,0
2013-07,36
2013-08,33
2013-09,0
2013-10,27
2013-11,26
2013-12,25
2014-01,26
2014-02,64
2014-03,91
2014-04,47
2014-05,43
2014-06,46
2014-07,100
2014-08,46
2014-09,50
2014-10,67
2014-11,67
2014-12,63
2015-01,67
2015-02,76
2015-03,74
2015-04,41
2015-05,34
2015-06,53
2015-07,76
2015-08,56
2015-09,49
2015-10,38
2015-11,36
2015-12,57
2016-01,34
2016-02,26
2016-03,45
2016-04,24
2016-05,20
2016-06,32
2016-07,14
2016-08,12
2016-09,37
2016-10,21
2016-11,13
2016-12,15
2017-01,13
2017-02,24
2017-03,8
2017-04,29
2017-05,21
2017-06,18
2017-07,13
2017-08,27
2017-09,0
2017-10,10
2017-11,8
2017-12,8
2018-01,18
2018-02,11
2018-03,0
2018-04,20
2018-05,0
2018-06,20
2018-07,0
2018-08,9
2018-09,9
2018-10,8
2018-11,0
2018-12,0
2019-01,0
2019-02,12
2019-03,9
2019-04,9
2019-05,13
2019-06,16
2019-07,8
2019-08,8
2019-09,8
2019-10,11
2019-11,0
2019-12,0
2020-01,6
2020-02,0
2020-03,6
2020-04,10
2020-05,4
2020-06,9
