Mois,Samsung Galaxy Grand Duos
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,13
2013-01,0
2013-02,42
2013-03,48
2013-04,100
2013-05,86
2013-06,58
2013-07,80
2013-08,79
2013-09,51
2013-10,35
2013-11,97
2013-12,39
2014-01,26
2014-02,67
2014-03,15
2014-04,77
2014-05,38
2014-06,30
2014-07,26
2014-08,19
2014-09,21
2014-10,27
2014-11,28
2014-12,18
2015-01,15
2015-02,42
2015-03,33
2015-04,27
2015-05,11
2015-06,31
2015-07,22
2015-08,20
2015-09,12
2015-10,17
2015-11,19
2015-12,17
2016-01,6
2016-02,26
2016-03,8
2016-04,18
2016-05,11
2016-06,8
2016-07,16
2016-08,11
2016-09,5
2016-10,8
2016-11,4
2016-12,8
2017-01,9
2017-02,10
2017-03,5
2017-04,5
2017-05,5
2017-06,6
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,6
2017-12,0
2018-01,6
2018-02,0
2018-03,6
2018-04,6
2018-05,0
2018-06,13
2018-07,6
2018-08,6
2018-09,6
2018-10,0
2018-11,0
2018-12,5
2019-01,0
2019-02,0
2019-03,6
2019-04,6
2019-05,0
2019-06,0
2019-07,5
2019-08,5
2019-09,0
2019-10,7
2019-11,0
2019-12,4
2020-01,0
2020-02,0
2020-03,4
2020-04,6
2020-05,0
2020-06,0
