Mois,Samsung Galaxy Grand Neo Plus
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,39
2014-06,0
2014-07,0
2014-08,0
2014-09,34
2014-10,30
2014-11,39
2014-12,0
2015-01,28
2015-02,64
2015-03,51
2015-04,84
2015-05,61
2015-06,95
2015-07,71
2015-08,74
2015-09,36
2015-10,68
2015-11,100
2015-12,93
2016-01,44
2016-02,41
2016-03,98
2016-04,49
2016-05,62
2016-06,37
2016-07,39
2016-08,29
2016-09,29
2016-10,21
2016-11,23
2016-12,22
2017-01,24
2017-02,14
2017-03,14
2017-04,15
2017-05,15
2017-06,16
2017-07,16
2017-08,32
2017-09,24
2017-10,0
2017-11,15
2017-12,15
2018-01,0
2018-02,28
2018-03,0
2018-04,0
2018-05,0
2018-06,18
2018-07,0
2018-08,15
2018-09,26
2018-10,0
2018-11,13
2018-12,0
2019-01,14
2019-02,16
2019-03,16
2019-04,16
2019-05,0
2019-06,0
2019-07,14
2019-08,21
2019-09,14
2019-10,13
2019-11,12
2019-12,0
2020-01,12
2020-02,12
2020-03,11
2020-04,9
2020-05,0
2020-06,19
