Mois,Samsung Galaxy Grand Prime
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,3
2014-11,7
2014-12,8
2015-01,12
2015-02,25
2015-03,10
2015-04,31
2015-05,36
2015-06,43
2015-07,49
2015-08,42
2015-09,54
2015-10,66
2015-11,75
2015-12,83
2016-01,78
2016-02,100
2016-03,86
2016-04,74
2016-05,65
2016-06,69
2016-07,56
2016-08,47
2016-09,38
2016-10,32
2016-11,33
2016-12,19
2017-01,29
2017-02,22
2017-03,26
2017-04,18
2017-05,18
2017-06,26
2017-07,23
2017-08,16
2017-09,14
2017-10,12
2017-11,19
2017-12,7
2018-01,16
2018-02,16
2018-03,13
2018-04,9
2018-05,12
2018-06,12
2018-07,9
2018-08,14
2018-09,11
2018-10,11
2018-11,10
2018-12,7
2019-01,10
2019-02,15
2019-03,14
2019-04,9
2019-05,8
2019-06,7
2019-07,9
2019-08,8
2019-09,7
2019-10,3
2019-11,5
2019-12,4
2020-01,3
2020-02,5
2020-03,7
2020-04,5
2020-05,7
2020-06,4
