Mois,Samsung Galaxy Grand
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,4
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,5
2012-09,5
2012-10,4
2012-11,3
2012-12,3
2013-01,4
2013-02,13
2013-03,27
2013-04,28
2013-05,43
2013-06,28
2013-07,38
2013-08,27
2013-09,24
2013-10,11
2013-11,15
2013-12,12
2014-01,25
2014-02,32
2014-03,26
2014-04,38
2014-05,24
2014-06,34
2014-07,27
2014-08,33
2014-09,30
2014-10,26
2014-11,32
2014-12,32
2015-01,34
2015-02,46
2015-03,45
2015-04,56
2015-05,61
2015-06,49
2015-07,77
2015-08,82
2015-09,88
2015-10,73
2015-11,88
2015-12,91
2016-01,96
2016-02,100
2016-03,87
2016-04,81
2016-05,74
2016-06,70
2016-07,67
2016-08,50
2016-09,52
2016-10,40
2016-11,34
2016-12,32
2017-01,35
2017-02,31
2017-03,25
2017-04,22
2017-05,19
2017-06,23
2017-07,24
2017-08,23
2017-09,15
2017-10,16
2017-11,15
2017-12,14
2018-01,12
2018-02,12
2018-03,13
2018-04,11
2018-05,16
2018-06,15
2018-07,13
2018-08,12
2018-09,9
2018-10,11
2018-11,9
2018-12,9
2019-01,10
2019-02,9
2019-03,11
2019-04,9
2019-05,6
2019-06,9
2019-07,9
2019-08,11
2019-09,7
2019-10,7
2019-11,5
2019-12,5
2020-01,6
2020-02,5
2020-03,5
2020-04,5
2020-05,8
2020-06,6
