Mois,Samsung Galaxy J4
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,28
2015-11,20
2015-12,7
2016-01,13
2016-02,8
2016-03,23
2016-04,15
2016-05,14
2016-06,11
2016-07,29
2016-08,27
2016-09,24
2016-10,24
2016-11,27
2016-12,22
2017-01,24
2017-02,20
2017-03,15
2017-04,17
2017-05,14
2017-06,19
2017-07,11
2017-08,17
2017-09,25
2017-10,11
2017-11,14
2017-12,7
2018-01,11
2018-02,9
2018-03,16
2018-04,12
2018-05,0
2018-06,22
2018-07,35
2018-08,29
2018-09,34
2018-10,37
2018-11,67
2018-12,81
2019-01,100
2019-02,72
2019-03,71
2019-04,99
2019-05,94
2019-06,95
2019-07,61
2019-08,60
2019-09,69
2019-10,34
2019-11,39
2019-12,44
2020-01,25
2020-02,50
2020-03,46
2020-04,43
2020-05,46
2020-06,48
