Mois,Samsung Galaxy Note 7
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,4
2011-12,3
2012-01,0
2012-02,4
2012-03,0
2012-04,4
2012-05,4
2012-06,4
2012-07,5
2012-08,5
2012-09,10
2012-10,11
2012-11,8
2012-12,7
2013-01,7
2013-02,7
2013-03,16
2013-04,12
2013-05,11
2013-06,9
2013-07,9
2013-08,0
2013-09,10
2013-10,5
2013-11,7
2013-12,6
2014-01,9
2014-02,4
2014-03,4
2014-04,5
2014-05,0
2014-06,5
2014-07,3
2014-08,5
2014-09,6
2014-10,0
2014-11,5
2014-12,6
2015-01,3
2015-02,9
2015-03,6
2015-04,5
2015-05,4
2015-06,0
2015-07,6
2015-08,3
2015-09,2
2015-10,3
2015-11,2
2015-12,1
2016-01,2
2016-02,2
2016-03,4
2016-04,3
2016-05,4
2016-06,5
2016-07,9
2016-08,100
2016-09,60
2016-10,49
2016-11,22
2016-12,21
2017-01,21
2017-02,19
2017-03,18
2017-04,13
2017-05,13
2017-06,11
2017-07,11
2017-08,17
2017-09,13
2017-10,14
2017-11,17
2017-12,18
2018-01,12
2018-02,14
2018-03,14
2018-04,10
2018-05,8
2018-06,8
2018-07,10
2018-08,13
2018-09,15
2018-10,7
2018-11,5
2018-12,9
2019-01,9
2019-02,12
2019-03,14
2019-04,13
2019-05,10
2019-06,18
2019-07,13
2019-08,14
2019-09,15
2019-10,12
2019-11,14
2019-12,14
2020-01,13
2020-02,10
2020-03,12
2020-04,11
2020-05,8
2020-06,10
