Mois,Samsung Galaxy Note Edge
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,15
2014-10,17
2014-11,43
2014-12,44
2015-01,63
2015-02,57
2015-03,47
2015-04,93
2015-05,42
2015-06,67
2015-07,55
2015-08,64
2015-09,100
2015-10,64
2015-11,50
2015-12,48
2016-01,53
2016-02,44
2016-03,49
2016-04,42
2016-05,42
2016-06,43
2016-07,38
2016-08,56
2016-09,62
2016-10,49
2016-11,44
2016-12,30
2017-01,28
2017-02,23
2017-03,27
2017-04,23
2017-05,26
2017-06,13
2017-07,14
2017-08,33
2017-09,16
2017-10,18
2017-11,24
2017-12,19
2018-01,24
2018-02,34
2018-03,11
2018-04,9
2018-05,14
2018-06,19
2018-07,16
2018-08,18
2018-09,23
2018-10,18
2018-11,6
2018-12,13
2019-01,9
2019-02,8
2019-03,9
2019-04,5
2019-05,6
2019-06,5
2019-07,8
2019-08,9
2019-09,6
2019-10,8
2019-11,4
2019-12,4
2020-01,5
2020-02,4
2020-03,5
2020-04,3
2020-05,6
2020-06,8
