Mois,Samsung Galaxy S2 Plus
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,10
2011-07,20
2011-08,0
2011-09,16
2011-10,10
2011-11,36
2011-12,30
2012-01,32
2012-02,21
2012-03,33
2012-04,37
2012-05,34
2012-06,34
2012-07,49
2012-08,41
2012-09,45
2012-10,25
2012-11,28
2012-12,26
2013-01,24
2013-02,32
2013-03,64
2013-04,76
2013-05,100
2013-06,57
2013-07,60
2013-08,58
2013-09,30
2013-10,54
2013-11,46
2013-12,34
2014-01,23
2014-02,49
2014-03,34
2014-04,44
2014-05,25
2014-06,17
2014-07,25
2014-08,10
2014-09,14
2014-10,6
2014-11,7
2014-12,8
2015-01,10
2015-02,7
2015-03,6
2015-04,13
2015-05,6
2015-06,7
2015-07,13
2015-08,12
2015-09,7
2015-10,13
2015-11,6
2015-12,5
2016-01,7
2016-02,9
2016-03,7
2016-04,5
2016-05,4
2016-06,5
2016-07,0
2016-08,5
2016-09,3
2016-10,3
2016-11,4
2016-12,2
2017-01,5
2017-02,0
2017-03,4
2017-04,6
2017-05,5
2017-06,3
2017-07,0
2017-08,0
2017-09,0
2017-10,4
2017-11,3
2017-12,3
2018-01,3
2018-02,0
2018-03,4
2018-04,0
2018-05,0
2018-06,0
2018-07,3
2018-08,0
2018-09,7
2018-10,3
2018-11,0
2018-12,0
2019-01,3
2019-02,0
2019-03,0
2019-04,0
2019-05,3
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,3
2019-11,2
2019-12,0
2020-01,0
2020-02,0
2020-03,5
2020-04,6
2020-05,0
2020-06,0
