Mois,Samsung Galaxy S5 Mini
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,5
2013-09,6
2013-10,4
2013-11,0
2013-12,7
2014-01,0
2014-02,4
2014-03,8
2014-04,15
2014-05,24
2014-06,18
2014-07,37
2014-08,48
2014-09,69
2014-10,81
2014-11,81
2014-12,79
2015-01,71
2015-02,100
2015-03,84
2015-04,71
2015-05,67
2015-06,83
2015-07,64
2015-08,68
2015-09,64
2015-10,49
2015-11,67
2015-12,56
2016-01,45
2016-02,42
2016-03,37
2016-04,37
2016-05,30
2016-06,34
2016-07,33
2016-08,37
2016-09,22
2016-10,31
2016-11,23
2016-12,24
2017-01,21
2017-02,18
2017-03,14
2017-04,11
2017-05,11
2017-06,14
2017-07,13
2017-08,15
2017-09,13
2017-10,8
2017-11,11
2017-12,9
2018-01,10
2018-02,4
2018-03,6
2018-04,4
2018-05,4
2018-06,6
2018-07,5
2018-08,3
2018-09,2
2018-10,2
2018-11,4
2018-12,2
2019-01,4
2019-02,2
2019-03,2
2019-04,2
2019-05,4
2019-06,2
2019-07,3
2019-08,3
2019-09,1
2019-10,1
2019-11,2
2019-12,1
2020-01,1
2020-02,1
2020-03,1
2020-04,1
2020-05,1
2020-06,2
