Mois,Samsung Galaxy S5
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,1
2011-05,0
2011-06,1
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,1
2011-12,0
2012-01,0
2012-02,0
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,0
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,0
2013-04,2
2013-05,1
2013-06,2
2013-07,2
2013-08,2
2013-09,3
2013-10,3
2013-11,2
2013-12,2
2014-01,3
2014-02,13
2014-03,27
2014-04,63
2014-05,69
2014-06,80
2014-07,77
2014-08,87
2014-09,100
2014-10,89
2014-11,95
2014-12,95
2015-01,90
2015-02,97
2015-03,95
2015-04,83
2015-05,79
2015-06,77
2015-07,77
2015-08,73
2015-09,69
2015-10,64
2015-11,67
2015-12,62
2016-01,58
2016-02,57
2016-03,55
2016-04,51
2016-05,42
2016-06,45
2016-07,49
2016-08,47
2016-09,44
2016-10,37
2016-11,35
2016-12,32
2017-01,31
2017-02,29
2017-03,25
2017-04,21
2017-05,19
2017-06,19
2017-07,22
2017-08,20
2017-09,19
2017-10,18
2017-11,18
2017-12,14
2018-01,12
2018-02,12
2018-03,12
2018-04,10
2018-05,8
2018-06,7
2018-07,8
2018-08,6
2018-09,7
2018-10,5
2018-11,5
2018-12,4
2019-01,4
2019-02,3
2019-03,4
2019-04,4
2019-05,4
2019-06,4
2019-07,4
2019-08,3
2019-09,3
2019-10,3
2019-11,3
2019-12,2
2020-01,2
2020-02,2
2020-03,2
2020-04,2
2020-05,2
2020-06,2
