Mois,Samsung Galaxy S7

2008-01,0

2008-02,0

2008-03,0

2008-04,0

2008-05,0

2008-06,0

2008-07,0

2008-08,0

2008-09,0

2008-10,0

2008-11,0

2008-12,0

2009-01,0

2009-02,0

2009-03,0

2009-04,0

2009-05,0

2009-06,0

2009-07,0

2009-08,0

2009-09,0

2009-10,0

2009-11,0

2009-12,0

2010-01,0

2010-02,0

2010-03,0

2010-04,0

2010-05,0

2010-06,0

2010-07,0

2010-08,0

2010-09,0

2010-10,0

2010-11,0

2010-12,0

2011-01,0

2011-02,0

2011-03,0

2011-04,0

2011-05,0

2011-06,0

2011-07,0

2011-08,0

2011-09,1

2011-10,1

2011-11,0

2011-12,0

2012-01,0

2012-02,0

2012-03,0

2012-04,0

2012-05,0

2012-06,0

2012-07,0

2012-08,0

2012-09,0

2012-10,0

2012-11,0

2012-12,0

2013-01,0

2013-02,0

2013-03,0

2013-04,0

2013-05,0

2013-06,0

2013-07,0

2013-08,0

2013-09,0

2013-10,0

2013-11,0

2013-12,0

2014-01,0

2014-02,1

2014-03,0

2014-04,0

2014-05,0

2014-06,0

2014-07,1

2014-08,1

2014-09,0

2014-10,0

2014-11,0

2014-12, 0

2015-01,0

2015-02,1

2015-03,1

2015-04,1

2015-05,1

2015-06,1

2015-07,1

2015-08,2

2015-09,3

2015-10,4

2015-11,3

2015-12,3

2016-01,4

2016-02,26

2016-03,86

2016-04,98

2016-05,98

2016-06,93

2016-07,100

2016-08,94

2016-09,100

2016-10,87

2016-11,77

2016-12,72

2017-01,74

2017-02,70

2017-03,63

2017-04,61

2017-05,48

2017-06,54

2017-07,51

2017-08,50

2017-09,50

2017-10,49

2017-11,51

2017-12,52

2018-01,45

2018-02,47

2018-03,47

2018-04,37

2018-05,36

2018-06,37

2018-07,37

2018-08,32

2018-09,31

2018-10,26

2018-11,26

2018-12,24

2019-01,20

2019-02,18

2019-03,20

2019-04,18

2019-05,18

2019-06,18

2019-07,18

2019-08,16

2019-09,14

2019-10,12

2019-11,12

2019-12,10

2020-01,9

2020-02,7

2020-03,8

2020-04,5

2020-05,6

2020-06,6
