Mois,Samsung Galaxy Xcover 3
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,56
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,65
2012-11,0
2012-12,0
2013-01,62
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,71
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,53
2014-08,52
2014-09,50
2014-10,0
2014-11,38
2014-12,72
2015-01,0
2015-02,0
2015-03,45
2015-04,46
2015-05,0
2015-06,94
2015-07,60
2015-08,61
2015-09,36
2015-10,50
2015-11,43
2015-12,61
2016-01,90
2016-02,65
2016-03,48
2016-04,65
2016-05,57
2016-06,100
2016-07,36
2016-08,29
2016-09,50
2016-10,44
2016-11,68
2016-12,53
2017-01,35
2017-02,42
2017-03,27
2017-04,21
2017-05,32
2017-06,47
2017-07,48
2017-08,64
2017-09,0
2017-10,43
2017-11,45
2017-12,29
2018-01,49
2018-02,28
2018-03,0
2018-04,44
2018-05,26
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,19
2018-12,19
2019-01,0
2019-02,0
2019-03,23
2019-04,24
2019-05,23
2019-06,22
2019-07,21
2019-08,31
2019-09,21
2019-10,19
2019-11,0
2019-12,17
2020-01,17
2020-02,0
2020-03,16
2020-04,13
2020-05,0
2020-06,18
