Mois,Samsung Galaxy Young
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,9
2011-11,0
2011-12,11
2012-01,18
2012-02,13
2012-03,17
2012-04,16
2012-05,19
2012-06,24
2012-07,13
2012-08,35
2012-09,25
2012-10,21
2012-11,39
2012-12,20
2013-01,34
2013-02,15
2013-03,35
2013-04,30
2013-05,32
2013-06,78
2013-07,88
2013-08,79
2013-09,67
2013-10,81
2013-11,100
2013-12,65
2014-01,50
2014-02,83
2014-03,71
2014-04,54
2014-05,68
2014-06,47
2014-07,36
2014-08,54
2014-09,27
2014-10,34
2014-11,43
2014-12,31
2015-01,21
2015-02,43
2015-03,35
2015-04,17
2015-05,37
2015-06,30
2015-07,39
2015-08,32
2015-09,32
2015-10,25
2015-11,23
2015-12,16
2016-01,14
2016-02,13
2016-03,15
2016-04,8
2016-05,8
2016-06,8
2016-07,16
2016-08,6
2016-09,7
2016-10,13
2016-11,10
2016-12,10
2017-01,8
2017-02,6
2017-03,7
2017-04,6
2017-05,6
2017-06,6
2017-07,5
2017-08,3
2017-09,4
2017-10,5
2017-11,5
2017-12,3
2018-01,3
2018-02,8
2018-03,7
2018-04,7
2018-05,7
2018-06,0
2018-07,3
2018-08,3
2018-09,3
2018-10,5
2018-11,0
2018-12,3
2019-01,7
2019-02,6
2019-03,10
2019-04,3
2019-05,0
2019-06,3
2019-07,0
2019-08,0
2019-09,6
2019-10,3
2019-11,2
2019-12,2
2020-01,2
2020-02,3
2020-03,4
2020-04,5
2020-05,0
2020-06,2
