Mois,Samsung Z4
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,52
2014-04,0
2014-05,0
2014-06,0
2014-07,46
2014-08,45
2014-09,0
2014-10,76
2014-11,0
2014-12,31
2015-01,0
2015-02,40
2015-03,59
2015-04,100
2015-05,39
2015-06,67
2015-07,58
2015-08,70
2015-09,93
2015-10,61
2015-11,67
2015-12,72
2016-01,85
2016-02,60
2016-03,73
2016-04,28
2016-05,33
2016-06,47
2016-07,47
2016-08,93
2016-09,55
2016-10,17
2016-11,20
2016-12,23
2017-01,23
2017-02,27
2017-03,35
2017-04,0
2017-05,19
2017-06,20
2017-07,41
2017-08,42
2017-09,0
2017-10,44
2017-11,0
2017-12,47
2018-01,21
2018-02,24
2018-03,21
2018-04,45
2018-05,22
2018-06,34
2018-07,31
2018-08,30
2018-09,20
2018-10,19
2018-11,17
2018-12,17
2019-01,0
2019-02,30
2019-03,20
2019-04,0
2019-05,20
2019-06,19
2019-07,27
2019-08,18
2019-09,42
2019-10,49
2019-11,29
2019-12,29
2020-01,22
2020-02,48
2020-03,21
2020-04,19
2020-05,15
2020-06,16
