Mois,Sony Xperia 8
2008-01,0
2008-02,37
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,38
2011-01,47
2011-02,66
2011-03,0
2011-04,25
2011-05,0
2011-06,24
2011-07,0
2011-08,19
2011-09,0
2011-10,0
2011-11,22
2011-12,18
2012-01,39
2012-02,0
2012-03,0
2012-04,21
2012-05,21
2012-06,22
2012-07,26
2012-08,40
2012-09,27
2012-10,23
2012-11,19
2012-12,0
2013-01,21
2013-02,29
2013-03,100
2013-04,32
2013-05,60
2013-06,34
2013-07,34
2013-08,60
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,24
2014-02,23
2014-03,21
2014-04,21
2014-05,20
2014-06,21
2014-07,24
2014-08,0
2014-09,0
2014-10,15
2014-11,13
2014-12,25
2015-01,14
2015-02,0
2015-03,31
2015-04,0
2015-05,15
2015-06,16
2015-07,0
2015-08,14
2015-09,12
2015-10,10
2015-11,22
2015-12,8
2016-01,25
2016-02,9
2016-03,8
2016-04,13
2016-05,24
2016-06,8
2016-07,15
2016-08,29
2016-09,10
2016-10,16
2016-11,18
2016-12,9
2017-01,24
2017-02,22
2017-03,0
2017-04,8
2017-05,15
2017-06,16
2017-07,12
2017-08,19
2017-09,21
2017-10,26
2017-11,31
2017-12,19
2018-01,31
2018-02,19
2018-03,26
2018-04,27
2018-05,13
2018-06,9
2018-07,21
2018-08,8
2018-09,8
2018-10,23
2018-11,20
2018-12,10
2019-01,12
2019-02,12
2019-03,13
2019-04,17
2019-05,16
2019-06,11
2019-07,0
2019-08,7
2019-09,7
2019-10,13
2019-11,10
2019-12,17
2020-01,10
2020-02,23
2020-03,15
2020-04,10
2020-05,12
2020-06,11
