Mois,Sony Xperia C
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,36
2009-12,0
2010-01,32
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,24
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,22
2011-12,19
2012-01,0
2012-02,0
2012-03,0
2012-04,42
2012-05,42
2012-06,0
2012-07,0
2012-08,41
2012-09,56
2012-10,46
2012-11,0
2012-12,29
2013-01,65
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,35
2013-07,33
2013-08,30
2013-09,27
2013-10,50
2013-11,25
2013-12,24
2014-01,24
2014-02,36
2014-03,95
2014-04,87
2014-05,100
2014-06,54
2014-07,56
2014-08,37
2014-09,35
2014-10,62
2014-11,47
2014-12,19
2015-01,14
2015-02,33
2015-03,32
2015-04,49
2015-05,24
2015-06,58
2015-07,47
2015-08,22
2015-09,25
2015-10,27
2015-11,9
2015-12,24
2016-01,26
2016-02,23
2016-03,13
2016-04,17
2016-05,20
2016-06,16
2016-07,34
2016-08,23
2016-09,15
2016-10,17
2016-11,30
2016-12,17
2017-01,18
2017-02,26
2017-03,7
2017-04,15
2017-05,11
2017-06,8
2017-07,0
2017-08,25
2017-09,9
2017-10,9
2017-11,8
2017-12,8
2018-01,9
2018-02,0
2018-03,0
2018-04,9
2018-05,9
2018-06,9
2018-07,8
2018-08,8
2018-09,0
2018-10,8
2018-11,7
2018-12,0
2019-01,0
2019-02,16
2019-03,8
2019-04,13
2019-05,0
2019-06,8
2019-07,0
2019-08,7
2019-09,0
2019-10,0
2019-11,6
2019-12,6
2020-01,6
2020-02,0
2020-03,0
2020-04,5
2020-05,0
2020-06,6
