Mois,Sony Xperia C3
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,56
2011-03,49
2011-04,51
2011-05,0
2011-06,50
2011-07,0
2011-08,81
2011-09,0
2011-10,0
2011-11,45
2011-12,38
2012-01,40
2012-02,45
2012-03,0
2012-04,43
2012-05,0
2012-06,0
2012-07,52
2012-08,0
2012-09,56
2012-10,0
2012-11,40
2012-12,0
2013-01,0
2013-02,60
2013-03,0
2013-04,0
2013-05,63
2013-06,0
2013-07,0
2013-08,0
2013-09,56
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,76
2014-08,62
2014-09,36
2014-10,32
2014-11,36
2014-12,34
2015-01,29
2015-02,33
2015-03,32
2015-04,100
2015-05,32
2015-06,50
2015-07,32
2015-08,58
2015-09,42
2015-10,43
2015-11,37
2015-12,16
2016-01,17
2016-02,25
2016-03,23
2016-04,35
2016-05,0
2016-06,25
2016-07,31
2016-08,23
2016-09,35
2016-10,23
2016-11,12
2016-12,11
2017-01,21
2017-02,15
2017-03,15
2017-04,0
2017-05,16
2017-06,17
2017-07,17
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,23
2018-02,20
2018-03,27
2018-04,0
2018-05,18
2018-06,0
2018-07,17
2018-08,0
2018-09,17
2018-10,32
2018-11,14
2018-12,0
2019-01,15
2019-02,16
2019-03,17
2019-04,17
2019-05,0
2019-06,15
2019-07,0
2019-08,15
2019-09,0
2019-10,0
2019-11,12
2019-12,0
2020-01,0
2020-02,13
2020-03,0
2020-04,0
2020-05,8
2020-06,13
