Mois,Sony Xperia L
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,8
2012-07,9
2012-08,10
2012-09,10
2012-10,8
2012-11,0
2012-12,7
2013-01,19
2013-02,10
2013-03,12
2013-04,11
2013-05,33
2013-06,93
2013-07,59
2013-08,37
2013-09,33
2013-10,69
2013-11,91
2013-12,100
2014-01,43
2014-02,25
2014-03,59
2014-04,34
2014-05,42
2014-06,30
2014-07,36
2014-08,45
2014-09,28
2014-10,24
2014-11,17
2014-12,13
2015-01,15
2015-02,6
2015-03,6
2015-04,11
2015-05,17
2015-06,6
2015-07,19
2015-08,10
2015-09,9
2015-10,9
2015-11,0
2015-12,4
2016-01,5
2016-02,10
2016-03,4
2016-04,3
2016-05,4
2016-06,3
2016-07,11
2016-08,5
2016-09,5
2016-10,0
2016-11,4
2016-12,2
2017-01,4
2017-02,5
2017-03,8
2017-04,0
2017-05,0
2017-06,4
2017-07,3
2017-08,0
2017-09,5
2017-10,3
2017-11,0
2017-12,3
2018-01,0
2018-02,0
2018-03,3
2018-04,0
2018-05,3
2018-06,0
2018-07,3
2018-08,3
2018-09,3
2018-10,3
2018-11,0
2018-12,2
2019-01,0
2019-02,0
2019-03,0
2019-04,3
2019-05,0
2019-06,3
2019-07,3
2019-08,3
2019-09,0
2019-10,2
2019-11,2
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,2
2020-05,0
2020-06,2
