Mois,Sony Xperia M2
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,8
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,7
2014-04,15
2014-05,20
2014-06,46
2014-07,57
2014-08,70
2014-09,63
2014-10,77
2014-11,70
2014-12,79
2015-01,85
2015-02,100
2015-03,73
2015-04,70
2015-05,67
2015-06,54
2015-07,71
2015-08,52
2015-09,44
2015-10,35
2015-11,18
2015-12,27
2016-01,29
2016-02,23
2016-03,24
2016-04,17
2016-05,16
2016-06,16
2016-07,21
2016-08,23
2016-09,20
2016-10,11
2016-11,15
2016-12,15
2017-01,13
2017-02,11
2017-03,9
2017-04,9
2017-05,5
2017-06,7
2017-07,9
2017-08,11
2017-09,3
2017-10,6
2017-11,4
2017-12,3
2018-01,7
2018-02,4
2018-03,4
2018-04,9
2018-05,5
2018-06,3
2018-07,6
2018-08,4
2018-09,3
2018-10,3
2018-11,3
2018-12,2
2019-01,3
2019-02,7
2019-03,0
2019-04,0
2019-05,3
2019-06,5
2019-07,0
2019-08,2
2019-09,2
2019-10,2
2019-11,4
2019-12,2
2020-01,2
2020-02,0
2020-03,2
2020-04,2
2020-05,1
2020-06,0
