Mois,Sony Xperia Pro
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,9
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,6
2010-02,6
2010-03,12
2010-04,7
2010-05,7
2010-06,10
2010-07,26
2010-08,67
2010-09,49
2010-10,29
2010-11,29
2010-12,100
2011-01,36
2011-02,57
2011-03,47
2011-04,40
2011-05,51
2011-06,41
2011-07,64
2011-08,40
2011-09,58
2011-10,74
2011-11,82
2011-12,73
2012-01,65
2012-02,67
2012-03,94
2012-04,55
2012-05,64
2012-06,70
2012-07,82
2012-08,56
2012-09,80
2012-10,64
2012-11,55
2012-12,46
2013-01,51
2013-02,30
2013-03,9
2013-04,6
2013-05,17
2013-06,23
2013-07,19
2013-08,8
2013-09,18
2013-10,9
2013-11,12
2013-12,13
2014-01,4
2014-02,4
2014-03,6
2014-04,12
2014-05,11
2014-06,10
2014-07,7
2014-08,5
2014-09,10
2014-10,3
2014-11,5
2014-12,2
2015-01,5
2015-02,3
2015-03,3
2015-04,12
2015-05,0
2015-06,3
2015-07,18
2015-08,5
2015-09,2
2015-10,3
2015-11,4
2015-12,1
2016-01,2
2016-02,3
2016-03,2
2016-04,2
2016-05,0
2016-06,0
2016-07,1
2016-08,3
2016-09,1
2016-10,2
2016-11,4
2016-12,0
2017-01,1
2017-02,3
2017-03,1
2017-04,1
2017-05,1
2017-06,2
2017-07,2
2017-08,2
2017-09,3
2017-10,3
2017-11,1
2017-12,1
2018-01,3
2018-02,2
2018-03,5
2018-04,4
2018-05,2
2018-06,2
2018-07,2
2018-08,3
2018-09,3
2018-10,1
2018-11,3
2018-12,3
2019-01,3
2019-02,3
2019-03,8
2019-04,2
2019-05,3
2019-06,3
2019-07,3
2019-08,2
2019-09,3
2019-10,2
2019-11,3
2019-12,2
2020-01,2
2020-02,1
2020-03,4
2020-04,2
2020-05,3
2020-06,2
