Mois,Sony Xperia T
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,10
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,10
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,5
2011-09,5
2011-10,6
2011-11,6
2011-12,5
2012-01,5
2012-02,6
2012-03,0
2012-04,6
2012-05,0
2012-06,6
2012-07,0
2012-08,0
2012-09,34
2012-10,93
2012-11,84
2012-12,91
2013-01,100
2013-02,84
2013-03,54
2013-04,49
2013-05,38
2013-06,56
2013-07,54
2013-08,38
2013-09,26
2013-10,22
2013-11,24
2013-12,13
2014-01,13
2014-02,13
2014-03,17
2014-04,12
2014-05,9
2014-06,6
2014-07,13
2014-08,7
2014-09,8
2014-10,8
2014-11,10
2014-12,7
2015-01,15
2015-02,10
2015-03,6
2015-04,9
2015-05,11
2015-06,10
2015-07,15
2015-08,8
2015-09,5
2015-10,7
2015-11,3
2015-12,6
2016-01,0
2016-02,5
2016-03,4
2016-04,5
2016-05,4
2016-06,4
2016-07,5
2016-08,3
2016-09,3
2016-10,3
2016-11,3
2016-12,0
2017-01,3
2017-02,3
2017-03,2
2017-04,3
2017-05,2
2017-06,2
2017-07,3
2017-08,0
2017-09,2
2017-10,0
2017-11,6
2017-12,4
2018-01,5
2018-02,0
2018-03,0
2018-04,2
2018-05,2
2018-06,5
2018-07,2
2018-08,2
2018-09,0
2018-10,0
2018-11,2
2018-12,2
2019-01,0
2019-02,2
2019-03,0
2019-04,2
2019-05,0
2019-06,3
2019-07,4
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,2
2020-01,0
2020-02,0
2020-03,2
2020-04,0
2020-05,4
2020-06,0
