Mois,Sony Xperia T2 Ultra
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,89
2014-04,46
2014-05,64
2014-06,45
2014-07,59
2014-08,58
2014-09,49
2014-10,55
2014-11,75
2014-12,92
2015-01,51
2015-02,35
2015-03,100
2015-04,46
2015-05,66
2015-06,46
2015-07,100
2015-08,81
2015-09,40
2015-10,60
2015-11,58
2015-12,51
2016-01,42
2016-02,29
2016-03,36
2016-04,24
2016-05,51
2016-06,34
2016-07,48
2016-08,27
2016-09,47
2016-10,37
2016-11,29
2016-12,28
2017-01,32
2017-02,54
2017-03,30
2017-04,15
2017-05,16
2017-06,29
2017-07,18
2017-08,18
2017-09,59
2017-10,0
2017-11,17
2017-12,24
2018-01,18
2018-02,21
2018-03,18
2018-04,29
2018-05,29
2018-06,20
2018-07,18
2018-08,25
2018-09,17
2018-10,16
2018-11,0
2018-12,22
2019-01,0
2019-02,17
2019-03,17
2019-04,0
2019-05,0
2019-06,16
2019-07,16
2019-08,0
2019-09,23
2019-10,14
2019-11,0
2019-12,12
2020-01,13
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,13
