Mois,Sony Xperia X
2008-01,0
2008-02,17
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,27
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,13
2010-01,14
2010-02,0
2010-03,21
2010-04,48
2010-05,33
2010-06,25
2010-07,27
2010-08,31
2010-09,30
2010-10,15
2010-11,18
2010-12,17
2011-01,22
2011-02,16
2011-03,16
2011-04,34
2011-05,10
2011-06,11
2011-07,11
2011-08,12
2011-09,12
2011-10,16
2011-11,0
2011-12,8
2012-01,9
2012-02,20
2012-03,10
2012-04,16
2012-05,25
2012-06,10
2012-07,31
2012-08,28
2012-09,29
2012-10,31
2012-11,9
2012-12,39
2013-01,36
2013-02,35
2013-03,30
2013-04,24
2013-05,32
2013-06,32
2013-07,15
2013-08,27
2013-09,24
2013-10,19
2013-11,22
2013-12,21
2014-01,33
2014-02,11
2014-03,16
2014-04,29
2014-05,9
2014-06,14
2014-07,21
2014-08,16
2014-09,12
2014-10,32
2014-11,20
2014-12,13
2015-01,16
2015-02,7
2015-03,28
2015-04,18
2015-05,21
2015-06,17
2015-07,23
2015-08,13
2015-09,15
2015-10,20
2015-11,14
2015-12,9
2016-01,18
2016-02,18
2016-03,21
2016-04,27
2016-05,46
2016-06,63
2016-07,65
2016-08,77
2016-09,98
2016-10,86
2016-11,79
2016-12,82
2017-01,100
2017-02,88
2017-03,87
2017-04,58
2017-05,60
2017-06,85
2017-07,59
2017-08,71
2017-09,36
2017-10,51
2017-11,46
2017-12,33
2018-01,38
2018-02,38
2018-03,45
2018-04,19
2018-05,30
2018-06,28
2018-07,16
2018-08,26
2018-09,22
2018-10,13
2018-11,24
2018-12,16
2019-01,12
2019-02,14
2019-03,20
2019-04,17
2019-05,14
2019-06,10
2019-07,21
2019-08,14
2019-09,14
2019-10,11
2019-11,10
2019-12,14
2020-01,13
2020-02,16
2020-03,10
2020-04,9
2020-05,6
2020-06,11
