Mois,Sony Xperia Z
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,2
2011-03,0
2011-04,2
2011-05,2
2011-06,2
2011-07,4
2011-08,0
2011-09,0
2011-10,2
2011-11,3
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,2
2012-08,2
2012-09,0
2012-10,2
2012-11,0
2012-12,0
2013-01,20
2013-02,43
2013-03,80
2013-04,95
2013-05,88
2013-06,99
2013-07,100
2013-08,86
2013-09,94
2013-10,59
2013-11,73
2013-12,65
2014-01,60
2014-02,55
2014-03,34
2014-04,40
2014-05,40
2014-06,33
2014-07,29
2014-08,35
2014-09,26
2014-10,37
2014-11,24
2014-12,22
2015-01,25
2015-02,23
2015-03,20
2015-04,22
2015-05,24
2015-06,20
2015-07,13
2015-08,17
2015-09,17
2015-10,13
2015-11,15
2015-12,12
2016-01,13
2016-02,11
2016-03,10
2016-04,8
2016-05,8
2016-06,9
2016-07,9
2016-08,13
2016-09,8
2016-10,9
2016-11,10
2016-12,8
2017-01,10
2017-02,9
2017-03,8
2017-04,5
2017-05,6
2017-06,4
2017-07,5
2017-08,4
2017-09,5
2017-10,5
2017-11,3
2017-12,3
2018-01,3
2018-02,4
2018-03,2
2018-04,3
2018-05,2
2018-06,2
2018-07,2
2018-08,4
2018-09,2
2018-10,2
2018-11,1
2018-12,2
2019-01,2
2019-02,3
2019-03,2
2019-04,2
2019-05,1
2019-06,1
2019-07,2
2019-08,2
2019-09,1
2019-10,1
2019-11,1
2019-12,1
2020-01,1
2020-02,2
2020-03,1
2020-04,1
2020-05,1
2020-06,1
