Mois,Sony Xperia Z3 Dual
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,55
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,79
2014-11,68
2014-12,53
2015-01,86
2015-02,70
2015-03,54
2015-04,55
2015-05,40
2015-06,63
2015-07,100
2015-08,36
2015-09,32
2015-10,40
2015-11,47
2015-12,20
2016-01,22
2016-02,23
2016-03,36
2016-04,22
2016-05,20
2016-06,21
2016-07,29
2016-08,19
2016-09,19
2016-10,17
2016-11,23
2016-12,14
2017-01,16
2017-02,47
2017-03,0
2017-04,20
2017-05,19
2017-06,0
2017-07,0
2017-08,22
2017-09,0
2017-10,0
2017-11,0
2017-12,20
2018-01,0
2018-02,25
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,20
2018-09,0
2018-10,0
2018-11,17
2018-12,0
2019-01,19
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,17
2019-11,0
2019-12,0
2020-01,15
2020-02,0
2020-03,14
2020-04,0
2020-05,10
2020-06,0
