Mois,Sony Xperia Z5 Premium
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,29
2015-10,42
2015-11,90
2015-12,74
2016-01,71
2016-02,100
2016-03,70
2016-04,62
2016-05,56
2016-06,61
2016-07,65
2016-08,42
2016-09,71
2016-10,77
2016-11,40
2016-12,50
2017-01,51
2017-02,34
2017-03,40
2017-04,42
2017-05,28
2017-06,30
2017-07,36
2017-08,25
2017-09,40
2017-10,30
2017-11,10
2017-12,26
2018-01,17
2018-02,29
2018-03,32
2018-04,23
2018-05,31
2018-06,27
2018-07,8
2018-08,16
2018-09,16
2018-10,18
2018-11,7
2018-12,20
2019-01,12
2019-02,12
2019-03,16
2019-04,14
2019-05,11
2019-06,19
2019-07,14
2019-08,18
2019-09,11
2019-10,20
2019-11,9
2019-12,0
2020-01,9
2020-02,6
2020-03,8
2020-04,4
2020-05,8
2020-06,6
