Mois,Xiaomi Mi Max
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,12
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,22
2016-06,17
2016-07,11
2016-08,21
2016-09,36
2016-10,32
2016-11,39
2016-12,47
2017-01,32
2017-02,28
2017-03,17
2017-04,42
2017-05,27
2017-06,26
2017-07,12
2017-08,32
2017-09,23
2017-10,25
2017-11,38
2017-12,30
2018-01,24
2018-02,37
2018-03,45
2018-04,32
2018-05,59
2018-06,42
2018-07,46
2018-08,100
2018-09,31
2018-10,68
2018-11,93
2018-12,50
2019-01,55
2019-02,62
2019-03,74
2019-04,39
2019-05,39
2019-06,34
2019-07,48
2019-08,60
2019-09,46
2019-10,28
2019-11,63
2019-12,45
2020-01,54
2020-02,33
2020-03,39
2020-04,41
2020-05,40
2020-06,47
