Mois,Xiaomi Mi Note
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,3
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,6
2015-02,9
2015-03,10
2015-04,0
2015-05,9
2015-06,3
2015-07,4
2015-08,9
2015-09,5
2015-10,2
2015-11,2
2015-12,0
2016-01,5
2016-02,6
2016-03,5
2016-04,3
2016-05,3
2016-06,2
2016-07,1
2016-08,2
2016-09,4
2016-10,7
2016-11,8
2016-12,7
2017-01,5
2017-02,6
2017-03,4
2017-04,2
2017-05,4
2017-06,5
2017-07,5
2017-08,7
2017-09,11
2017-10,10
2017-11,8
2017-12,11
2018-01,12
2018-02,11
2018-03,15
2018-04,15
2018-05,13
2018-06,16
2018-07,15
2018-08,17
2018-09,18
2018-10,16
2018-11,15
2018-12,17
2019-01,17
2019-02,21
2019-03,23
2019-04,29
2019-05,31
2019-06,37
2019-07,40
2019-08,36
2019-09,42
2019-10,51
2019-11,92
2019-12,100
2020-01,84
2020-02,91
2020-03,81
2020-04,71
2020-05,77
2020-06,97
