Mois,Xiaomi Mi5
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,6
2014-12,6
2015-01,0
2015-02,8
2015-03,7
2015-04,7
2015-05,0
2015-06,0
2015-07,7
2015-08,20
2015-09,6
2015-10,14
2015-11,4
2015-12,6
2016-01,18
2016-02,19
2016-03,86
2016-04,57
2016-05,76
2016-06,75
2016-07,72
2016-08,45
2016-09,78
2016-10,57
2016-11,83
2016-12,79
2017-01,87
2017-02,100
2017-03,55
2017-04,40
2017-05,64
2017-06,57
2017-07,52
2017-08,39
2017-09,62
2017-10,48
2017-11,47
2017-12,25
2018-01,30
2018-02,22
2018-03,12
2018-04,17
2018-05,19
2018-06,30
2018-07,15
2018-08,15
2018-09,9
2018-10,0
2018-11,16
2018-12,11
2019-01,9
2019-02,7
2019-03,15
2019-04,4
2019-05,11
2019-06,11
2019-07,0
2019-08,5
2019-09,0
2019-10,3
2019-11,6
2019-12,3
2020-01,6
2020-02,3
2020-03,0
2020-04,2
2020-05,4
2020-06,9
