Mois,Xiaomi Redmi Note 2
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,23
2014-12,22
2015-01,0
2015-02,28
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,25
2015-09,65
2015-10,92
2015-11,64
2015-12,91
2016-01,83
2016-02,56
2016-03,30
2016-04,52
2016-05,64
2016-06,28
2016-07,54
2016-08,39
2016-09,26
2016-10,29
2016-11,31
2016-12,20
2017-01,43
2017-02,13
2017-03,25
2017-04,13
2017-05,20
2017-06,21
2017-07,37
2017-08,0
2017-09,16
2017-10,16
2017-11,34
2017-12,13
2018-01,22
2018-02,34
2018-03,30
2018-04,40
2018-05,31
2018-06,40
2018-07,15
2018-08,21
2018-09,43
2018-10,14
2018-11,54
2018-12,24
2019-01,26
2019-02,64
2019-03,65
2019-04,30
2019-05,64
2019-06,33
2019-07,26
2019-08,25
2019-09,26
2019-10,53
2019-11,100
2019-12,52
2020-01,26
2020-02,67
2020-03,60
2020-04,20
2020-05,86
2020-06,62
