Mois,Xiaomi Redmi Pro
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,1
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,1
2015-06,0
2015-07,0
2015-08,1
2015-09,0
2015-10,1
2015-11,2
2015-12,1
2016-01,2
2016-02,3
2016-03,6
2016-04,5
2016-05,6
2016-06,6
2016-07,9
2016-08,13
2016-09,17
2016-10,16
2016-11,9
2016-12,13
2017-01,14
2017-02,16
2017-03,9
2017-04,8
2017-05,7
2017-06,7
2017-07,6
2017-08,6
2017-09,3
2017-10,4
2017-11,3
2017-12,4
2018-01,4
2018-02,4
2018-03,6
2018-04,8
2018-05,6
2018-06,10
2018-07,19
2018-08,17
2018-09,14
2018-10,18
2018-11,31
2018-12,28
2019-01,27
2019-02,36
2019-03,39
2019-04,24
2019-05,29
2019-06,31
2019-07,29
2019-08,31
2019-09,35
2019-10,49
2019-11,86
2019-12,89
2020-01,94
2020-02,100
2020-03,84
2020-04,75
2020-05,85
2020-06,96
