Mois,Xperia E5
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,22
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,20
2011-08,16
2011-09,31
2011-10,19
2011-11,17
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,17
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,17
2014-07,0
2014-08,0
2014-09,0
2014-10,12
2014-11,0
2014-12,10
2015-01,11
2015-02,13
2015-03,13
2015-04,0
2015-05,13
2015-06,13
2015-07,19
2015-08,11
2015-09,15
2015-10,8
2015-11,10
2015-12,6
2016-01,7
2016-02,7
2016-03,7
2016-04,7
2016-05,6
2016-06,22
2016-07,44
2016-08,60
2016-09,56
2016-10,82
2016-11,81
2016-12,87
2017-01,100
2017-02,82
2017-03,57
2017-04,46
2017-05,41
2017-06,70
2017-07,42
2017-08,45
2017-09,42
2017-10,32
2017-11,19
2017-12,25
2018-01,16
2018-02,26
2018-03,12
2018-04,11
2018-05,12
2018-06,15
2018-07,11
2018-08,9
2018-09,10
2018-10,12
2018-11,9
2018-12,11
2019-01,16
2019-02,6
2019-03,7
2019-04,14
2019-05,7
2019-06,8
2019-07,8
2019-08,6
2019-09,12
2019-10,5
2019-11,5
2019-12,5
2020-01,12
2020-02,5
2020-03,5
2020-04,0
2020-05,10
2020-06,8
