Trimestre;Quarter;Samsung ;Huawei;Apple;Xiaomi;Oppo;Vivo;Sony
30/09/2007;Q3;;;1,12;;;;
31/12/2007;Q4;;;2,32;;;;
31/03/2008;Q1;;;1,7;;;;
30/06/2008;Q2;;;0,72;;;;
30/09/2008;Q3;;;6,9;;;;
31/12/2008;Q4;;;4,4;;;;
31/03/2009;Q1;;;3,8;;;;
30/06/2009;Q2;;;5,2;;;;
30/09/2009;Q3;;;7,4;;;;
31/12/2009;Q4;1,8;;8,7;;;;
31/03/2010;Q1;2,4;;8,8;;;;
30/06/2010;Q2;3,6;;8,4;;;;2,6
30/09/2010;Q3;7,3;;14,1;;;;3,4
31/12/2010;Q4;9,6;;16,2;;;;3,6
31/03/2011;Q1;11,5;;18,7;;;;3,3
30/06/2011;Q2;18,4;;20,3;;;;3,3
30/09/2011;Q3;28,1;;17,1;;;;6,3
31/12/2011;Q4;36,2;5,7;37,0;;;;6,3
31/03/2012;Q1;44,0;5,1;35,1;;;;7,3
30/06/2012;Q2;50,3;7,0;26,0;;;;7,4
30/09/2012;Q3;56,3;9,9;26,9;;;;8,8
31/12/2012;Q4;63,7;10,8;47,8;;;;8,7
31/03/2013;Q1;69,7;9,3;37,4;;;;8,1
30/06/2013;Q2;77,3;10,4;31,2;;;;9,6
30/09/2013;Q3;85,0;12,5;33,8;5,6;;;10,3
31/12/2013;Q4;84,4;16,6;51,0;5,9;;;10,7
31/03/2014;Q1;88,5;13,5;43,7;10,1;;;8,8
30/06/2014;Q2;74,9;20,2;35,2;13,8;;;9,4
30/09/2014;Q3;79,6;16,5;39,3;17,3;;;9,6
31/12/2014;Q4;75,1;23,6;74,5;16,5;;;11,9
31/03/2015;Q1;82,4;17,4;61,2;16,6;7,3;6,4;7,9
30/06/2015;Q2;73,0;29,6;47,5;17,9;9,6;9,1;7,2
30/09/2015;Q3;83,9;27,3;48,1;18,3;11,4;10,5;6,7
31/12/2015;Q4;81,7;32,7;74,8;18,2;14,4;12,1;7,6
31/03/2016;Q1;79,2;28,1;51,2;12,6;19,7;14,6;3,4
30/06/2016;Q2;77,0;32,1;40,4;12,6;22,6;16,4;3,1
30/09/2016;Q3;76,1;33,7;45,5;13,6;25,8;21,2;3,3
31/12/2016;Q4;77,5;45,4;78,3;14,3;31,6;24,7;5,1
31/03/2017;Q1;80,1;34,5;50,8;14,8;25,8;18,1;2,9
30/06/2017;Q2;79,8;38,5;41,0;21,4;28,0;23,2;3,4
30/09/2017;Q3;83,3;39,1;46,7;28,3;30,6;23,2;3,4
31/12/2017;Q4;74,5;42,1;77,3;28,2;27,3;23,2;4,0
31/03/2018;Q1;78,2;39,3;52,2;27,8;24,6;18,7;2,1
30/06/2018;Q2;71,5;54,2;41,3;32,4;29,4;26,5;2,0
30/09/2018;Q3;72,2;52,0;46,9;34,3;29,9;30,5;1,6
31/12/2018;Q4;70,4;60,5;68,4;28,6;29,2;26,5;1,9
31/03/2019;Q1;71,9;59,1;36,4;25,0;23,1;23,2;1,1
30/06/2019;Q2;75,5;58,7;33,8;32,3;29,5;27,0;0,9
30/09/2019;Q3;78,2;66,6;46,6;32,7;31,2;31,3;0,6
31/12/2019;Q4;69,4;56,2;73,8;32,8;30,6;31,5;
31/03/2020;Q1;58,3;49,0;36,7;29,5;24,8;21,6;
